A,B,C,D,E,F,G,H,I,J,K,L
58,40,84,96,82,97,100,92,98,93,96,98
90,86,72,60,58,41,43,39,31,33,27,20
90,80,76,61,62,30,43,35,63,59,83,100
93,88,77,60,55,45,43,36,30,31,23,27
97,67,61,73,74,83,87,78,70,68,71,83
49,67,75,83,78,62,60,60,73,80,80,60
42,54,69,86,97,81,79,60,65,55,46,47
98,79,53,69,80,89,89,88,46,65,72,89
49,69,82,83,77,62,54,66,71,83,72,64
38,40,50,98,74,93,94,91,96,93,95,97
96,90,77,60,59,43,35,36,31,31,32,23
49,99,76,71,93,88,96,100,95,97,95,100
59,63,73,84,95,82,86,67,63,55,44,41
96,87,73,55,47,38,49,32,44,66,83,92
91,89,70,63,52,44,44,40,28,28,25,23
98,86,74,61,52,32,50,38,68,56,86,100
51,54,70,81,97,84,87,62,60,50,48,43
45,58,81,81,80,62,51,63,73,93,76,70
46,61,67,82,93,82,88,73,65,58,47,47
41,67,75,82,95,89,81,70,64,53,44,54
53,95,56,73,88,96,98,98,96,99,94,95
45,50,88,85,73,66,54,68,72,86,74,70
93,76,45,75,79,82,90,72,56,65,70,89
100,88,57,74,74,89,85,60,63,65,77,84
99,69,54,65,77,88,85,73,45,67,75,83
82,48,66,95,100,99,90,92,100,99,97,95
91,86,85,67,93,83,95,94,98,93,97,95
100,87,54,65,75,81,95,65,78,66,70,80
96,63,65,73,73,90,95,87,70,68,76,81
48,56,79,83,96,88,81,66,56,56,43,51
99,90,78,61,52,48,40,38,29,35,26,26
97,90,75,51,63,30,42,33,64,60,80,99
54,80,54,76,93,84,96,97,92,99,98,98
43,54,67,83,92,89,77,73,53,55,44,50
43,63,71,89,79,60,56,63,78,90,73,61
99,76,79,73,76,90,92,72,43,71,78,80
47,54,84,80,72,62,54,61,76,85,71,60
97,83,71,64,54,32,43,35,68,52,90,98
37,62,56,76,76,92,95,94,98,98,94,95
93,84,70,67,57,40,43,33,29,34,27,23
93,86,76,61,55,47,47,42,45,69,86,99
57,64,57,74,81,86,92,91,93,100,99,97
93,89,80,67,54,49,40,39,30,32,22,26
93,87,68,67,80,90,94,87,49,71,74,83
98,76,79,67,77,90,85,65,65,66,74,84
41,50,77,87,74,66,51,62,78,97,76,65
80,80,78,70,95,84,91,92,93,95,95,97
95,80,74,61,40,50,43,39,56,50,83,96
99,85,70,67,58,49,40,34,29,32,29,21
46,69,90,89,80,63,54,64,80,94,77,62
43,53,74,87,75,70,53,66,78,86,78,70
54,64,61,80,93,83,80,64,62,58,43,43
93,88,61,71,77,80,92,68,53,66,74,86
66,43,76,66,73,80,97,100,96,97,97,95
92,80,74,58,70,30,42,32,63,63,81,97
99,87,71,61,55,50,40,32,62,56,86,93
98,89,70,54,55,32,48,35,45,60,86,95
42,54,64,86,94,80,73,67,65,59,49,47
97,83,76,64,51,49,45,33,29,31,20,23
93,87,75,66,65,33,45,39,65,53,89,94
93,54,62,66,80,82,90,100,100,95,96,100
49,92,55,85,72,97,90,98,98,100,99,96
92,71,59,68,70,87,90,69,45,68,80,85
