noStudents,noStaffs,Bench_and_Desk,Computer,Board,Classrooms,status
800,80,200,200,20,15,Fine
1200,80,200,150,20,20,Need Reallocation
600,30,120,100,10,12,Very Good
1000,50,200,125,10,18,Need Reallocation
1500,35,180,150,15,25,Bad
700,35,140,100,10,14,Good
1100,55,220,135,15,22,Need Reallocation
850,50,200,100,10,17,Fine
950,45,180,90,9,20,Need Reallocation
1300,65,260,130,13,23,Need Reallocation
950,40,160,80,8,19,Good
1100,55,220,150,15,22,Need Reallocation
750,50,200,125,10,18,Very Good
1200,70,280,175,18,24,Need Reallocation
850,40,160,100,10,16,Very Good
1300,65,260,150,15,20,Good
600,30,120,90,9,14,Very Good
1000,50,200,125,10,17,Fine
1400,70,280,200,20,25,Need Reallocation
900,45,180,110,11,19,Good
750,50,200,150,15,18,Very Good
1100,55,220,125,13,20,Need Reallocation
800,40,160,100,10,16,Very Good
1250,60,240,175,18,23,Good
650,35,140,80,8,15,Good
950,45,180,125,10,17,Good
1200,70,280,150,15,22,Need Reallocation
700,35,140,90,9,14,Very Good
1050,50,200,110,11,19,Fine
1300,65,260,200,20,25,Need Reallocation
850,40,160,100,10,16,Very Good
1100,55,220,150,15,20,Need Reallocation
750,50,200,125,10,18,Very Good
1200,70,280,175,18,24,Good
600,30,120,90,9,14,Very Good
1000,50,200,125,10,17,Good
1400,70,280,200,20,25,Need Reallocation
900,45,180,110,11,19,Need Reallocation
750,50,200,150,15,18,Very Good
1100,55,220,125,13,20,Need Reallocation
800,40,160,100,10,16,Very Good
1250,60,240,175,18,23,Good
650,35,140,80,8,15,Good
950,45,180,125,10,17,Good
1200,70,280,150,15,22,Need Reallocation
700,35,140,90,9,14,Very Good
1050,50,200,110,11,19,Good
1300,65,260,200,20,25,Need Reallocation
850,40,160,100,10,16,Very Good
1100,55,220,150,15,20,Need Reallocation
950,40,190,180,20,18,Fine
1200,60,240,200,25,22,Need Reallocation
800,40,160,150,15,14,Good
1100,70,280,180,20,20,Need Reallocation
1400,70,200,100,10,15,Good
600,30,120,80,8,10,Very Good
900,45,180,120,12,16,Fine
1000,50,200,160,15,20,Need Reallocation
1300,65,260,200,20,25,Good
750,35,150,100,10,12,Good
1150,60,240,160,18,22,Fine
850,45,180,110,12,18,Fine
950,55,220,170,15,20,Need Reallocation
1400,70,280,180,25,30,Need Reallocation
700,35,140,120,12,15,Good
1050,55,220,140,18,20,Fine
1250,65,260,160,20,24,Need Reallocation
900,50,200,120,15,18,Fine
1000,55,220,180,18,20,Need Reallocation
1200,60,240,200,20,25,Good
800,40,160,160,12,15,Good
1100,70,280,180,25,30,Good
950,45,180,120,15,18,Need Reallocation
1350,65,260,200,20,25,Need Reallocation
700,35,140,120,12,15,Very Good
1000,55,220,140,18,20,Fine
1200,60,240,180,20,25,Need Reallocation
850,45,180,110,12,18,Fine
950,55,220,170,15,20,Need Reallocation
1400,70,280,180,25,30,Need Reallocation
900,50,200,120,15,18,Fine
1000,55,220,180,18,20,Need Reallocation
1200,60,240,200,20,25,Good
800,40,160,160,12,15,Good
1100,70,280,180,25,30,Good
950,45,180,120,15,18,Need Reallocation
1350,65,260,200,20,25,Need Reallocation
700,35,140,120,12,15,Good
1000,55,220,140,18,20,Fine
1200,60,240,180,20,25,Need Reallocation
850,45,180,110,12,18,Fine
950,55,220,170,15,20,Need Reallocation
1400,70,280,180,25,30,Need Reallocation
900,50,200,120,15,18,Fine
1000,55,220,180,18,20,Need Reallocation
1200,60,240,200,20,25,Good
800,40,160,160,12,15,Good
1100,70,280,180,25,30,Good
950,45,180,120,15,18,Need Reallocation
1350,65,260,200,20,25,Need Reallocation
,,,,,,
373,18,93,93,7,7,Good
405,20,101,101,8,8,Very Good
454,22,113,113,9,9,Very Good
382,19,95,95,7,7,Good
267,13,66,66,5,5,Fine
420,21,105,105,8,8,Very Good
461,23,115,115,9,9,Very Good
268,13,67,67,5,5,Very Good
370,18,92,92,7,7,Very Good
270,13,67,67,5,5,Fine
211,10,52,52,4,4,Very Good
262,13,65,65,5,5,Very Good
122,6,30,30,2,2,Good
151,7,37,37,3,3,Fine
340,17,85,85,6,6,Fine
175,8,43,43,3,3,Fine
360,18,90,90,7,7,Good
188,9,47,47,3,3,Fine
357,17,89,89,7,7,Fine
239,11,59,59,4,4,Very Good
367,18,91,91,7,7,Fine
