noStudents,noStaffs,noBench_and_Desk,noComputer,noBoard,noClassrooms,prevPassPercentage,status
373,18,93,93,7,7,60,Good
405,20,101,101,8,8,100,Very Good
454,22,113,113,9,9,84,Very Good
382,19,95,95,7,7,53,Good
267,13,66,66,5,5,43,Fine
420,21,105,105,8,8,76,Very Good
461,23,115,115,9,9,76,Very Good
268,13,67,67,5,5,91,Very Good
370,18,92,92,7,7,78,Very Good
270,13,67,67,5,5,42,Fine
211,10,52,52,4,4,86,Very Good
262,13,65,65,5,5,88,Very Good
122,6,30,30,2,2,57,Good
151,7,37,37,3,3,43,Fine
340,17,85,85,6,6,44,Fine
175,8,43,43,3,3,46,Fine
360,18,90,90,7,7,51,Good
188,9,47,47,3,3,47,Fine
357,17,89,89,7,7,46,Fine
239,11,59,59,4,4,84,Very Good
367,18,91,91,7,7,41,Fine
383,19,95,95,7,7,65,Good
170,8,42,42,3,3,86,Very Good
211,10,52,52,4,4,96,Very Good
394,19,98,98,7,7,49,Fine
235,11,58,58,4,4,76,Very Good
145,7,36,36,2,2,49,Fine
125,6,31,31,2,2,84,Very Good
494,24,123,123,9,9,73,Very Good
386,19,96,96,7,7,42,Fine
318,15,79,79,6,6,60,Good
179,8,44,44,3,3,45,Fine
160,8,40,40,3,3,93,Very Good
460,23,115,115,9,9,42,Fine
177,8,44,44,3,3,65,Good
344,17,86,86,6,6,85,Very Good
209,10,52,52,4,4,82,Very Good
415,20,103,103,8,8,56,Good
219,10,54,54,4,4,62,Good
348,17,87,87,6,6,57,Good
105,5,26,26,2,2,99,Very Good
329,16,82,82,6,6,94,Very Good
391,19,97,97,7,7,70,Very Good
431,21,107,107,8,8,49,Fine
264,13,66,66,5,5,65,Good
163,8,40,40,3,3,72,Very Good
484,24,121,121,9,9,54,Good
233,11,58,58,4,4,81,Very Good
452,22,113,113,9,9,56,Good
305,15,76,76,6,6,52,Good
487,24,121,121,9,9,93,Very Good
257,12,64,64,5,5,67,Good
293,14,73,73,5,5,56,Good
360,18,90,90,7,7,65,Good
228,11,57,57,4,4,46,Fine
215,10,53,53,4,4,41,Fine
116,5,29,29,2,2,60,Good
409,20,102,102,8,8,41,Fine
161,8,40,40,3,3,100,Very Good
330,16,82,82,6,6,75,Very Good
184,9,46,46,3,3,58,Good
293,14,73,73,5,5,97,Very Good
388,19,97,97,7,7,42,Fine
265,13,66,66,5,5,83,Very Good
331,16,82,82,6,6,48,Fine
131,6,32,32,2,2,98,Very Good
431,21,107,107,8,8,84,Very Good
274,13,68,68,5,5,75,Very Good
236,11,59,59,4,4,41,Fine
300,15,75,75,6,6,100,Very Good
212,10,53,53,4,4,70,Very Good
195,9,48,48,3,3,43,Fine
338,16,84,84,6,6,61,Good
442,22,110,110,8,8,54,Good
339,16,84,84,6,6,45,Fine
151,7,37,37,3,3,72,Very Good
220,11,55,55,4,4,52,Good
367,18,91,91,7,7,98,Very Good
390,19,97,97,7,7,48,Fine
217,10,54,54,4,4,98,Very Good
231,11,57,57,4,4,49,Fine
267,13,66,66,5,5,79,Very Good
469,23,117,117,9,9,56,Good
399,19,99,99,7,7,82,Very Good
138,6,34,34,2,2,92,Very Good
437,21,109,109,8,8,62,Good
304,15,76,76,6,6,99,Very Good
431,21,107,107,8,8,57,Good
442,22,110,110,8,8,99,Very Good
392,19,98,98,7,7,72,Very Good
381,19,95,95,7,7,68,Good
330,16,82,82,6,6,62,Good
276,13,69,69,5,5,59,Good
394,19,98,98,7,7,47,Fine
323,16,80,80,6,6,66,Good
495,24,123,123,9,9,70,Very Good
343,17,85,85,6,6,68,Good
221,11,55,55,4,4,85,Very Good
462,23,115,115,9,9,46,Fine
467,23,116,116,9,9,71,Very Good
359,17,89,89,7,7,87,Very Good
499,24,124,124,9,9,87,Very Good
